session_swing,hand_speed_mag_swing_max_velo_x,hand_speed_mag_swing_max_velo_x_pct,torso_angular_velocity_swing_max_x,torso_angular_velocity_swing_max_x_pct,swing_efficiency,swing_efficiency_pct,bat_torso_angle_connection_x,bat_torso_angle_connection_x_pct,attack_angle_contact_x,attack_angle_contact_x_pct,poi_x,poi_x_pct,poi_y,poi_y_pct,pitch_angle,pitch_angle_pct,exit_velo_mph_x,exit_velo_mph_x_pct
426_2,1764.8774,45.1,822.5184,14.1,3.1355,39.4,93.5607,12.7,0.9551,29.6,1.07,50.4,28.51,38.2,-5.7,81.1,95.5,78.7
426_3,1827.7001,58.2,857.6613,24.4,3.2008,48.0,94.5005,15.5,4.3183,50.9,0.55,45.2,29.55,43.0,-5.6,82.8,98.6,90.4
426_4,1820.3864,56.1,842.339,18.8,3.0599,30.5,94.9899,17.0,3.911,47.7,-2.6,9.8,30.33,48.7,-5.4,85.7,95.4,77.2
426_5,1829.8964,58.9,877.1249,32.4,3.015,25.1,95.8259,19.3,3.0581,41.8,-0.52,23.1,26.85,28.7,-6.3,64.2,96.5,83.6
426_6,1789.1785,49.7,865.7827,28.1,3.092,34.9,97.4863,22.7,-0.5798,21.7,0.18,43.1,31.5,56.3,-5.5,84.3,94.6,73.5
426_7,1776.2704,47.2,1016.1763,92.1,3.0328,27.2,97.7871,23.6,7.2824,70.2,-4.74,4.5,33.7,72.8,-5.1,87.6,92.6,60.7
426_8,1757.6741,44.2,866.8207,28.4,3.4459,80.2,97.5026,22.9,9.2257,82.3,-6.23,2.4,39.04,95.4,-4.6,90.0,96.5,83.6
43_1,2079.4805,88.6,850.4551,21.5,3.482,82.8,98.4959,24.8,14.1809,96.2,-6.39,2.1,36.45,88.0,-6.2,68.2,91.6,53.6
43_2,1921.8625,71.8,872.8942,30.1,3.3267,68.2,106.083,46.6,9.9308,86.4,-3.3,7.4,35.54,83.3,-6.4,59.2,88.1,33.9
43_3,1850.7123,61.1,857.5687,24.3,3.3544,72.1,103.6865,38.6,8.3259,75.7,-1.32,18.6,33.8,73.5,-6.1,71.3,89.8,42.7
43_4,1937.139,73.8,856.5635,23.9,3.4357,79.2,102.6674,34.8,9.3662,83.1,0.55,45.2,37.86,91.6,-6.1,71.3,91.7,54.5
440_1,2049.9592,85.2,801.0318,9.8,3.3769,74.7,128.545,93.3,7.4512,71.4,2.29,59.1,21.08,16.9,-8.3,4.1,80.2,10.5
440_2,2100.5171,90.2,904.7069,44.6,3.3612,73.1,132.283,95.9,5.6673,60.2,8.83,95.4,22.69,18.1,-8.3,4.1,75.8,4.6
440_3,1903.3208,69.4,844.4882,19.4,3.4243,77.5,132.7798,96.0,2.5822,38.4,4.82,80.7,22.24,17.4,-7.9,6.5,77.4,6.8
440_4,2053.2888,85.5,1086.0911,98.8,3.3668,73.8,130.7156,94.3,12.8126,95.0,0.0,34.4,0.0,7.5,-7.9,6.5,87.5,30.4
440_5,1967.3152,76.6,810.1313,11.2,3.4903,83.0,131.5822,95.2,9.1554,81.1,2.64,62.8,25.93,25.0,-7.8,7.5,86.3,26.2
440_6,2028.2396,83.6,992.7324,86.4,3.2842,60.2,128.8558,93.8,4.3031,50.4,12.14,99.5,19.94,16.2,-8.1,5.2,74.3,3.2
440_7,2265.9124,97.1,1148.0894,99.8,3.5013,84.2,127.9554,92.6,8.6458,78.0,9.27,96.4,26.39,26.5,-7.6,10.7,80.8,11.4
440_8,2103.002,90.7,1085.408,98.6,3.1932,46.8,121.9759,87.4,11.735,92.4,9.83,97.6,25.91,24.8,-7.6,10.7,81.8,14.6
447_1,1741.9487,40.8,886.5189,36.5,3.5873,91.2,89.3389,7.2,4.0506,48.4,4.01,76.1,35.0,80.2,-6.7,43.8,97.2,86.1
447_2,1796.0574,50.6,883.395,35.3,3.5581,89.0,90.7392,9.0,8.0914,74.2,0.84,49.1,33.98,74.4,-6.7,43.8,90.8,49.1
447_3,1752.3419,42.9,827.1519,15.0,3.5993,92.1,87.8929,5.0,9.2924,82.4,0.37,44.3,32.38,62.5,-7.2,21.3,91.7,54.5
447_4,1807.5508,52.8,862.8007,27.0,3.6135,92.4,93.3457,12.2,9.3724,83.3,-4.56,4.6,32.71,65.2,-6.8,38.1,92.2,57.8
447_5,1806.5118,52.5,901.6912,43.2,3.54,87.3,90.1307,7.7,4.9974,55.8,5.53,85.0,35.71,84.9,-6.4,59.2,92.6,60.7
447_6,1784.8407,48.2,858.8527,25.1,3.5147,85.2,90.8307,9.6,4.8411,55.1,-0.63,22.5,33.79,73.3,-6.6,50.1,91.0,49.8
447_7,1749.9215,42.3,842.8362,19.1,3.5904,91.7,93.6639,13.1,5.0017,55.9,1.13,51.1,29.99,45.9,-6.9,32.8,93.2,64.4
447_8,1835.7018,59.7,884.813,35.6,3.6461,95.4,93.3804,12.6,10.2008,87.8,-2.54,10.4,35.28,81.6,-6.3,64.2,94.1,71.0
448_1,1729.4626,38.9,831.4185,16.0,3.2916,61.3,131.387,94.8,1.5542,32.0,3.21,67.0,27.64,32.5,-7.3,17.6,87.7,31.7
448_2,1813.7339,54.6,879.7031,33.6,3.0774,33.0,130.5767,94.1,-5.181,5.9,-5.81,2.6,32.99,67.7,-6.5,55.0,85.2,22.5
448_3,1731.0559,39.2,883.387,34.9,3.3306,68.5,127.6625,92.3,9.7968,85.5,2.49,60.9,27.08,29.9,-7.6,10.7,88.0,33.2
